OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
208,208,3491,3141900,0,29,29,0.202520768,1.693824006,707,25,0,13,0
209,209,3488,3139200,0,100,100,43.14449541,28.71182734,150488,101,0,94,45
210,210,459,413100,0,99,99,23.93028322,32.1640596,10984,86,0,2,0
211,211,459,413100,0,99,99,23.93028322,32.1640596,10984,86,0,2,0
212,212,3485,3136500,0,100,100,26.63328551,29.75335887,92817,101,0,84,17
213,213,3491,3141900,0,65,65,1.618160985,7.075482228,5649,52,0,19,0
214,214,459,413100,0,99,99,23.93028322,32.1640596,10984,86,0,2,0
215,215,3491,3141900,0,100,100,9.716127184,19.24641341,33919,93,0,85,0
216,216,3038,2734200,0,100,100,53.80184332,29.03096296,163450,100,0,13,61
217,217,459,413100,0,99,99,23.93028322,32.1640596,10984,86,0,2,0
218,218,1775,1597500,0,100,100,14.41746479,20.40711915,25591,88,0,67,1
219,219,3488,3139200,0,18,18,0.105791284,0.884039645,369,15,0,12,0
220,220,3420,3078000,0,96,96,1.45877193,10.19478692,4989,39,0,16,0
221,221,3484,3135600,0,100,100,11.09471871,21.99816519,38654,94,0,85,0
222,222,3490,3141000,0,100,100,59.03581662,32.70324381,206035,101,0,4,70
223,223,3420,3078000,0,96,96,1.45877193,10.19478692,4989,39,0,16,0
224,224,3493,3143700,0,79,79,1.004008016,7.200056142,3507,55,0,2,0
225,225,3420,3078000,0,96,96,1.45877193,10.19478692,4989,39,0,16,0
226,226,3494,3144600,0,97,97,5.753005152,15.6844952,20101,91,0,36,0
227,227,1685,1516500,0,99,99,15.17804154,22.45925539,25575,91,0,76,0
228,228,1704,1533600,0,93,93,15.99647887,25.03731932,27258,78,0,7,0
229,229,3491,3141900,0,100,100,17.09195073,19.09806354,59668,88,0,77,11
230,230,3491,3141900,0,100,100,27.52850186,25.05951617,96102,101,0,100,23
231,231,3491,3141900,0,100,100,8.148381553,18.31162769,28446,91,0,79,0
232,232,3488,3139200,0,79,79,1.058772936,7.473096846,3693,57,0,2,0
233,233,3433,3089700,0,80,80,3.150888436,9.746777008,10817,70,0,49,0
234,234,3485,3136500,0,100,100,54.73572453,30.32088362,190754,101,0,9,58
235,235,3490,3141000,0,100,100,19.67851003,25.71029522,68678,101,0,95,5
236,236,3491,3141900,0,100,100,46.65940991,26.37702336,162888,101,0,6,44
237,237,3486,3137400,0,95,95,7.775387263,16.98954429,27105,94,0,77,0
238,238,3487,3138300,0,100,100,2.209062231,10.119654,7703,78,0,5,0
239,239,1300,1170000,0,100,100,59.30923077,25.4987434,77102,86,0,7,65
240,240,3083,2774700,0,99,99,28.43885825,27.78971605,87677,100,0,98,20
241,241,3493,3143700,0,100,100,9.125679931,18.6925172,31876,96,0,80,0
242,242,1596,1436400,0,100,100,9.169799499,13.76929005,14635,70,0,55,2
243,243,3494,3144600,0,92,92,1.746136234,8.175903536,6101,59,0,1,0
244,244,3494,3144600,0,77,77,1.483400114,7.490702828,5183,49,0,2,0
245,245,3495,3145500,0,100,100,52.32560801,25.95770444,182878,101,0,7,54
246,246,3485,3136500,0,100,100,16.92826399,21.43434851,58995,89,0,95,1
247,247,3494,3144600,0,72,72,5.388093875,11.27186224,18826,63,0,54,0
248,248,3497,3147300,0,100,100,12.45553331,16.08816622,43557,88,1,72,5
249,249,3495,3145500,0,100,100,14.91273247,24.6270051,52120,98,0,90,0
250,250,3489,3140100,0,100,100,19.58010891,25.68827761,68315,101,0,95,5
251,251,3493,3143700,0,100,100,41.35900372,18.3007121,144467,100,40,2,41
252,252,2397,2157300,0,99,99,8.48310388,17.77573834,20334,91,0,61,0
253,253,3484,3135600,0,50,50,0.514925373,3.591282335,1794,39,0,1,0
254,254,3494,3144600,0,99,99,30.09072696,28.1051171,105137,100,0,97,29
255,255,3488,3139200,0,95,95,1.734518349,10.57856372,6050,55,0,7,0
256,256,3487,3138300,0,100,100,43.44078004,23.89534539,151478,101,0,4,42
257,257,3489,3140100,0,100,100,48.25738034,17.26470921,168370,96,59,95,51
258,258,3485,3136500,0,100,100,54.73572453,30.32088362,190754,101,0,9,58
