"","gbifID","class","order","family","genus","species","stateProvince","decimalLatitude","decimalLongitude","day","month","year"
"4244",1324142010,"Reptilia","Testudines","Kinosternidae","Staurotypus","Staurotypus salvinii","Florida",25.60276,-80.40123,2,10,2010
"4245",1324151480,"Reptilia","Squamata","Teiidae","Salvator","Salvator merianae","Florida",25.44024,-80.49918,25,5,2013
"4246",1324150394,"Reptilia","Squamata","Pythonidae","Python","Python regius","Florida",29.20364,-82.02921,27,11,2012
"4247",1324146791,"Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma pholeter","Florida",30.4934,-87.3242,5,5,2011
"4248",1324189278,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.37472,-80.47102,11,8,2014
"4249",1324188563,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus","Florida",29.09728,-83.06363,12,4,2014
"4250",1324190053,"Reptilia","Squamata","Anguidae","Ophisaurus","Ophisaurus ventralis","Florida",29.644528,-82.360894,26,4,2015
"4251",1324153346,"Amphibia","Anura","Hylidae","Osteopilus","Osteopilus septentrionalis","Florida",26.04545,-80.21953,9,2,2014
"4252",1324148490,"Reptilia","Squamata","Colubridae","Storeria","Storeria occipitomaculata","Florida",29.71408,-82.3958,29,6,2012
"4253",1324148593,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76213,-80.70241,17,5,2012
"4254",1324150862,"Reptilia","Squamata","Rhineuridae","Rhineura","Rhineura floridana","Florida",29.35074,-81.73527,9,9,2012
"4255",1837124987,"Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus terrestris","Florida",30.35111,-82.00936,29,5,2012
"4256",1324151211,"Reptilia","Testudines","Emydidae","Malaclemys","Malaclemys terrapin","Florida",30.39759,-86.58781,1,4,2013
"4257",1324148408,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.36718,-80.6658,13,2,2012
"4258",1324146834,"Reptilia","Squamata","Phyllodactylidae","Tarentola","Tarentola mauritanica","Florida",26.04591,-80.21976,13,4,2011
"4259",1324152957,"Amphibia","Anura","Pipidae","Xenopus","Xenopus tropicalis","Florida",27.8494,-82.33446,29,12,2013
"4260",1324139221,"Reptilia","Squamata","Gekkonidae","Gekko","Gekko gecko","Florida",28.01477,-81.95221,27,2,2010
"4261",1835184360,"Amphibia","Anura","Ranidae","Lithobates","Lithobates sphenocephalus","Florida",29.7216,-84.74403,7,3,2011
"4262",1837125011,"Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus terrestris","Florida",30.05736,-81.53212,29,5,2012
"4263",1324189102,"Reptilia","Squamata","Corytophanidae","Basiliscus","Basiliscus vittatus","Florida",26.63419,-80.14811,23,6,2014
"4264",1324152421,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76062,-80.62641,7,8,2013
"4265",1324189925,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis sagrei","Florida",29.10058,-83.061,30,6,2014
"4266",1324192168,"Reptilia","Testudines","Emydidae","Terrapene","Terrapene carolina","Florida",26.727992,-80.252662,6,4,2012
"4267",1324151319,"Reptilia","Squamata","Gekkonidae","Phelsuma","Phelsuma grandis","Florida",24.70717,-81.09743,17,5,2013
"4268",1324153754,"Amphibia","Anura","Hylidae","Osteopilus","Osteopilus septentrionalis","Florida",29.694537,-82.354558,24,3,2014
"4269",1324149289,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76092,-80.59194,28,6,2012
"4270",1324152015,"Reptilia","Squamata","Dactyloidae","Anolis","Anolis equestris","Florida",25.76081,-80.51983,13,8,2013
"4271",1324146770,"Reptilia","Squamata","Colubridae","Farancia","Farancia abacura","Florida",25.38239,-80.6063,17,8,2010
"4272",1324144565,"Reptilia","Squamata","Pythonidae","Python","Python regius","Florida",26.04591,-80.21976,5,11,2010
"4273",1324148182,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.39612,-80.57341,2,4,2012
"4274",1324152940,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.15013,-80.92107,27,11,2013
"4275",1324139003,"Reptilia","Squamata","Teiidae","Ameiva","Ameiva ameiva","Florida",26.26757,-81.73889,12,1,2010
"4276",1324151346,"Reptilia","Squamata","Gekkonidae","Phelsuma","Phelsuma grandis","Florida",24.76503,-80.94878,16,5,2013
"4277",1324147123,"Reptilia","Squamata","Pythonidae","Python","Python bivittatus","Florida",25.76197,-80.78127,29,1,2011
"4278",1324189974,"Reptilia","Squamata","Corytophanidae","Basiliscus","Basiliscus vittatus","Florida",26.442169,-82.13018,13,8,2014
"4279",1324139106,"Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus","Florida",29.61985,-82.41546,12,3,2010
