OBJECTID,OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
156,156,4296,3866400,0,80,80,5.117318436,15.1383046,21984,57,0,5,0
157,157,4299,3869100,0,80,80,5.25913003,15.31012531,22609,60,0,5,0
158,158,4306,3875400,0,80,80,4.737343242,14.68206118,20399,57,0,5,0
159,159,4301,3870900,0,95,95,8.607300628,19.33934248,37020,77,0,48,0
160,160,4299,3869100,0,80,80,5.25913003,15.31012531,22609,60,0,5,0
161,161,4298,3868200,0,80,80,5.188227082,15.21834817,22299,59,0,5,0
162,162,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
163,163,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
164,164,4297,3867300,0,80,80,4.975331627,14.95298181,21379,56,0,5,0
165,165,3396,3056400,0,96,96,46.00441696,35.33217324,156231,92,0,6,41
166,166,4295,3865500,0,80,80,4.605587893,14.52754492,19781,57,0,5,0
167,167,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
168,168,4297,3867300,0,80,80,5.77333023,15.8837353,24808,62,0,5,0
169,169,4379,3941100,0,92,92,16.6558575,28.92394756,72936,62,0,44,0
170,170,4302,3871800,0,90,90,2.458623896,11.28381725,10577,56,0,8,0
171,171,2392,2152800,0,80,80,11.3235786,16.24009281,27086,74,0,5,0
172,172,4569,4112100,0,87,87,25.66994966,29.40494062,117286,82,0,9,13
173,173,4310,3879000,0,77,77,4.082830626,7.26421208,17597,38,0,40,0
174,174,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
175,175,4339,3905100,0,91,91,10.01544135,15.7536196,43457,83,0,79,0
176,176,4326,3893400,0,92,92,10.42394822,22.57606692,45094,80,0,41,0
177,177,4317,3885300,0,92,92,5.533009034,13.36522604,23886,47,0,8,0
178,178,4338,3904200,0,83,83,4.480405717,14.12888408,19436,65,0,52,0
179,179,4337,3903300,0,77,77,6.011989855,9.96067176,26074,60,0,42,0
180,180,4298,3868200,0,80,80,4.065379246,13.88427398,17473,51,0,6,0
