OBJECTID,gbifID,Shape_Length,Shape_Area
344,1324147089,0.059708576,0.000282639
345,1324147090,0.059708603,0.000282639
346,1324147091,0.059790544,0.00028336
347,1324147092,0.059797057,0.000283417
348,1324147093,0.059814193,0.000283567
349,1324147094,0.059775966,0.000283232
350,1324147095,0.059783883,0.000283301
351,1324147097,0.059708568,0.000282639
352,1324147098,0.05989775,0.000284301
353,1324147099,0.059708582,0.000282639
354,1324147100,0.059803295,0.000283472
355,1324147102,0.059708576,0.000282639
356,1324147103,0.059655619,0.000282174
357,1324147104,0.059708582,0.000282639
358,1324147105,0.059634721,0.00028199
359,1324147107,0.059708635,0.00028264
360,1324147108,0.05962402,0.000281896
361,1324147109,0.059681888,0.000282405
362,1324147111,0.059708571,0.000282639
363,1324147113,0.059811417,0.000283543
364,1324147114,0.059702208,0.000282583
365,1324147121,0.059678325,0.000282373
366,1324147123,0.059708574,0.000282639
367,1324147124,0.059601261,0.000281695
368,1324147126,0.059626154,0.000281914
369,1324147130,0.059600098,0.000281685
370,1324147132,0.059603281,0.000281713
371,1324147133,0.059797033,0.000283417
372,1324147135,0.059708619,0.00028264
373,1324147136,0.059708611,0.00028264
374,1324147138,0.059770449,0.000283183
375,1324147139,0.059782487,0.000283289
376,1324147140,0.059708613,0.00028264
377,1324147141,0.05960541,0.000281732
378,1324147142,0.059675875,0.000282352
379,1324147143,0.059655074,0.000282169
380,1324147146,0.059608257,0.000281757
381,1324147148,0.059732678,0.000282851
382,1324147149,0.059708648,0.00028264
383,1324147150,0.059794759,0.000283397
384,1324147151,0.059705394,0.000282611
385,1324147152,0.059597715,0.000281664
386,1324147153,0.059603017,0.000281711
387,1324147154,0.111772467,0.000144168
388,1324147155,0.059612835,0.000281797
389,1324147156,0.059708603,0.000282639
390,1324147157,0.059668077,0.000282283
391,1324147158,0.059642911,0.000282062
392,1324147159,0.061156216,0.000272074
393,1324147160,0.059654105,0.00028216
394,1324147162,0.05981853,0.000283606
395,1324147165,0.059642911,0.000282062
396,1324147168,0.059693621,0.000282508
397,1324147169,0.05977222,0.000283199
398,1324147174,0.05973869,0.000282904
399,1324147175,0.059774335,0.000283217
400,1324147178,0.091723772,0.000187637
401,1324147181,0.060852934,0.000292653
402,1324147182,0.061076819,0.000294602
403,1324147186,0.061019649,0.000294105
404,1324147187,0.05961261,0.000281795
405,1324147188,0.061098764,0.000294793
406,1324147190,0.058999574,0.000244786
407,1324147191,0.061157471,0.000295303
408,1324147193,0.059775738,0.00028323
409,1324147194,0.059686204,0.000282443
410,1324147195,0.060004624,0.000285239
411,1324147196,0.061075017,0.000294586
412,1324147206,0.050592703,0.000164026
413,1324147209,0.094920899,0.000192564
414,1324147213,0.088910073,0.000183495
415,1324147214,0.059937977,0.000284654
416,1324147218,0.061918594,4.54977E-05
417,1324147221,0.058999574,0.000244786
418,1324147227,0.059740486,0.00028292
419,1324147234,0.0608693,0.000292796
420,1324147235,0.061918594,4.54977E-05
421,1324147266,0.059781403,0.000283279
422,1324147279,0.059798735,0.000283432
423,1324147285,0.06113053,0.000295069
424,1324147287,0.061157814,0.000295306
425,1324147290,0.061171794,0.000295428
426,1324147293,0.069472577,0.000280591
427,1324147296,0.060018158,0.000222001
428,1324147297,0.059708608,0.00028264
429,1324147299,0.059623833,0.000281894
430,1324147301,0.093893853,0.000180516
431,1324147302,0.059720389,0.000282743
432,1324147305,0.065169278,0.000191356
433,1324147312,0.061170074,0.000295413
434,1324147313,0.060854519,0.000292667
435,1324147320,0.059784378,0.000283306
436,1324147334,0.059935355,0.000284631
437,1324147335,0.061229712,0.000295931
438,1324147337,0.060036654,0.00028552
439,1324147342,0.060850835,0.000292635
440,1324147348,0.05978448,0.000283306
441,1324147357,0.074854495,0.000161617
442,1324147361,0.060018158,0.000222001
443,1324147363,0.194482718,0.000137279
444,1324147366,0.060935643,0.000293374
445,1324147368,0.059621117,0.00028187
446,1324147372,0.061233737,0.000295966
447,1324147373,0.060850835,0.000292635
448,1324147375,0.060851012,0.000292637
449,1324147376,0.060850328,0.000292631
450,1324147378,0.060493865,0.000289521
451,1324147379,0.059661699,0.000282227
452,1324147380,0.060041814,0.000285565
453,1324147381,0.059621117,0.00028187
454,1324147384,0.059618328,0.000281845
455,1324147385,0.059784397,0.000283306
456,1324147386,0.059621268,0.000281871
457,1324147391,0.059621117,0.00028187
458,1324147392,0.059621268,0.000281871
459,1324147393,0.060013137,0.000285314
460,1324147395,0.059621117,0.00028187
461,1324147396,0.059621268,0.000281871
462,1324147398,0.059621268,0.000281871
463,1324147399,0.059621117,0.00028187
464,1324147400,0.059621117,0.00028187
465,1324147401,0.059621117,0.00028187
466,1324147402,0.059621117,0.00028187
467,1324147403,0.059621117,0.00028187
468,1324147404,0.059621268,0.000281871
469,1324147405,0.059621117,0.00028187
470,1324147406,0.060212385,0.00028706
471,1324147407,0.059621117,0.00028187
472,1324147408,0.059621117,0.00028187
473,1324147409,0.059621268,0.000281871
474,1324147410,0.059621268,0.000281871
475,1324147411,0.059621268,0.000281871
476,1324147413,0.110575544,0.000273887
477,1324147416,0.059621268,0.000281871
478,1324147417,0.059621268,0.000281871
479,1324147418,0.059871449,0.00028407
480,1324147419,0.059621268,0.000281871
481,1324147420,0.05959862,0.000281672
482,1324147422,0.059621268,0.000281871
483,1324147423,0.059621268,0.000281871
484,1324147424,0.059621268,0.000281871
485,1324147425,0.059639822,0.000282035
486,1324147426,0.059621268,0.000281871
487,1324147427,0.059621268,0.000281871
488,1324147428,0.059621268,0.000281871
489,1324147429,0.059625842,0.000281912
490,1324147430,0.059621268,0.000281871
491,1324147431,0.059621268,0.000281871
492,1324147432,0.059621268,0.000281871
493,1324147433,0.059621268,0.000281871
494,1324147434,0.059621268,0.000281871
495,1324147436,0.059621268,0.000281871
496,1324147437,0.0597086,0.000282639
497,1324147438,0.059621268,0.000281871
498,1324147441,0.059957467,0.000284825
499,1324147443,0.059708613,0.00028264
500,1324147444,0.059614832,0.000281815
501,1324147445,0.059621268,0.000281871
502,1324147446,0.059695409,0.000282523
503,1324147447,0.059710375,0.000282655
504,1324147449,0.058770245,0.00010656
505,1324147450,0.040830754,4.79611E-05
506,1324147451,0.061151024,0.000295247
507,1324147452,0.059597448,0.000281662
508,1324147454,0.059708582,0.000282639
509,1324147455,0.059623723,0.000281893
510,1324147456,0.059621268,0.000281871
511,1324147457,0.059708574,0.000282639
512,1324147458,0.059621268,0.000281871
513,1324147459,0.059708532,0.000282639
514,1324147460,0.06130574,0.000296591
515,1324147461,0.05970856,0.000282639
516,1324147463,0.059604014,0.000281719
517,1324147466,0.040830754,4.79611E-05
518,1324147467,0.059706029,0.000282617
519,1324147468,0.05960325,0.000281713
520,1324147469,0.060851287,0.000292639
521,1324147470,0.059621268,0.000281871
522,1324147471,0.060739599,0.000291666
523,1324147476,0.059708555,0.000282639
524,1324147480,0.059604283,0.000281722
525,1324147481,0.059768523,0.000283166
526,1324147482,0.060804062,0.000292228
527,1324147485,0.059601514,0.000281697
528,1324147490,0.059622324,0.000281881
529,1324147505,0.060740498,0.000291674
530,1324147510,0.060740498,0.000291674
